Edad,Edad Victima,Sexo,Año agresión,Lugar de residencia,Composicion del hogar,Grado de consanguinidad de persona a cargo,Numero de personas con quienes vive,Profesion persona a cargo,Nivel escolar,Rendimiento academico promedio,Antecedentes de maltrato familiar o escolar,Participa en actividades extracurriculares,Usa redes sociales activamente,Contacto de forma inapropiada en redes,Involucrado en otros incidentes de agresion,Conocia a la victima,Antecedentes penales o disciplinarios,Trastorno psicologico o adiccion,Atencion psicologica previa,Se siente arrepentido,Reconoce que su comportamiento fue incorrecto,Premeditado o impulsivo,Violencia fisica o amenazas,Actuo solo o con otras personas,Edad inicio consumo pornografico,Contenido violento o explicito en material
17,13,Masculino,2016,Los Martires,Nuclear,Otros familiares,7,Profesional,Universitario,9,No,Si,No,No,Si,Si,No,Si,No,No,Si,Impulsivo,Si,Solo,7,No
15,8,Femenino,2020,Usaquen,Nuclear,Abuelos,2,Ambulante,Secundaria,4,No,Si,No,Si,No,Si,Si,No,No,No,No,Impulsivo,Si,Solo,14,Si
14,9,Femenino,2017,Rafael Uribe Uribe,Nuclear,Tios,2,Agricultor,Secundaria,1,Si,Si,Si,Si,No,No,No,No,Si,Si,No,Impulsivo,No,Con otras personas,14,No
14,13,Masculino,2018,Teusaquillo,Nuclear,Padres,6,Ambulante,Universitario,9,Si,No,No,No,No,Si,No,No,Si,No,Si,Impulsivo,No,Con otras personas,8,No
15,8,Femenino,2023,Rafael Uribe Uribe,Monoparental,Abuelos,5,Agricultor,Secundaria,2,Si,No,No,No,No,Si,No,Si,Si,No,Si,Impulsivo,No,Solo,8,Si
13,7,Femenino,2018,Chapinero,Nuclear,Padres,5,Obrero,Secundaria,9,No,Si,No,No,No,Si,Si,No,No,Si,No,Premeditado,No,Solo,14,No
14,8,Masculino,2020,Ciudad Bolivar,Monoparental,Abuelos,1,Empleado,Primaria,9,Si,Si,No,No,No,Si,Si,No,No,No,No,Premeditado,Si,Solo,10,No
13,8,Masculino,2015,Kennedy,Extendida,Tios,6,Desempleado,Tecnico,1,No,Si,No,Si,Si,No,Si,No,No,No,No,Premeditado,Si,Solo,12,No
16,13,Femenino,2021,Tunjuelito,Monoparental,Padres,5,Independiente,Tecnico,3,No,No,Si,Si,Si,No,No,No,No,No,Si,Impulsivo,Si,Con otras personas,7,Si
13,8,Femenino,2018,San Cristobal,Monoparental,Tios,4,Desempleado,Secundaria,3,No,No,No,No,Si,No,No,No,Si,No,No,Impulsivo,Si,Solo,8,Si
